2018-12-31 03:32:05,511:max_episode: 5000, f_sampling: 1000, BayesBatch: 10000, lastlayer: 512, replay_start_size: 50000, sigma: 0.001, sigma_n: 1, annealing_end: 1000000.0, f_bayes_update: 1000, gamma2: 0.95, epsilon_min: 0.1, internal_skip_frame: 4, target_W_update: 10, rms_eps: 0.01, skip_frame: 4, lr: 0.0025, image_size: 84, replay_buffer_size: 500000, learning_frequency: 4, lambda_W: 0.1, Target_update: 10000, target_batch_size: 5000, alpha: 0.01, gamma1: 0.95, ctx: gpu(0), alpha_target: 1, batch_size: 32, gamma: 0.99, frame_len: 4
2018-12-31 05:18:09,381:BDQN:env:Centipede-v0,epis[3300],durat[44],fnum=221441, cum_cl_rew = 64, cum_rew = 812,tot_cl = 82 , tot = 3512
2018-12-31 05:21:30,463:BDQN:env:Centipede-v0,epis[3400],durat[81],fnum=228444, cum_cl_rew = 89, cum_rew = 4177,tot_cl = 81 , tot = 3533
2018-12-31 05:24:44,859:BDQN:env:Centipede-v0,epis[3500],durat[70],fnum=235252, cum_cl_rew = 78, cum_rew = 3443,tot_cl = 81 , tot = 3368
2018-12-31 11:00:13,637:internal_skip_frame: 4, ctx: gpu(0), f_bayes_update: 1000, gamma1: 0.95, epsilon_min: 0.1, frame_len: 4, annealing_end: 1000000.0, target_batch_size: 5000, replay_buffer_size: 500000, target_W_update: 10, skip_frame: 4, gamma2: 0.95, alpha_target: 1, image_size: 84, f_sampling: 1000, learning_frequency: 4, max_episode: 3000, replay_start_size: 50000, sigma_n: 1, Target_update: 10000, alpha: 0.01, batch_size: 32, lambda_W: 0.1, lr: 0.0025, sigma: 0.001, gamma: 0.99, BayesBatch: 10000, rms_eps: 0.01, lastlayer: 512
2018-12-31 11:00:37,017:BDQN:env:Centipede-v0,epis[0],durat[72],fnum=71, cum_cl_rew = 66, cum_rew = 2893,tot_cl = 0 , tot = 0
2018-12-31 11:02:40,964:BDQN:env:Centipede-v0,epis[100],durat[63],fnum=6566, cum_cl_rew = 45, cum_rew = 828,tot_cl = 0 , tot = 0
2018-12-31 11:04:51,473:BDQN:env:Centipede-v0,epis[200],durat[82],fnum=13490, cum_cl_rew = 57, cum_rew = 777,tot_cl = 55 , tot = 1639
2018-12-31 11:06:58,682:BDQN:env:Centipede-v0,epis[300],durat[61],fnum=20199, cum_cl_rew = 59, cum_rew = 1077,tot_cl = 54 , tot = 1648
2018-12-31 11:08:59,107:BDQN:env:Centipede-v0,epis[400],durat[60],fnum=26657, cum_cl_rew = 56, cum_rew = 781,tot_cl = 53 , tot = 1605
2018-12-31 11:11:11,031:BDQN:env:Centipede-v0,epis[500],durat[70],fnum=33731, cum_cl_rew = 64, cum_rew = 1514,tot_cl = 55 , tot = 1643
